Thomas Weiner| |./team/img/Standortlogo_.png|Team TUHH,LOC
Christoph Aberle| |./team/img/Standortlogo_.png|Team TUHH, LOC, Programmkomite
Güren Tan Dinga| |./team/img/dinga.jpg|Team HCU,LOC
Jochen Schiewe| |./team/img/jochen_schiewe.jpg|Team HCU,LOC
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./team/img/aemde.jpg|Programm-Komitee, FOSSGIS Core Team, Sessionleitung
Berit Mohr||./team/img/berit.png|Programm-Komitee
Christian Strobl||./team/img/christian_strobl.jpg|Programm-Komitee
Christopher Lorenz||./team/img/christopher.jpg|FOSSGIS Core Team, Programm-Komitee, Technik
Jan Schmalfuß-Schwarz||./team/img/Standortlogo_.png|Programm-Komitee 
Jonas Frei||./team/img/Standortlogo_.png|Programm-Komitee 
Marc Jansen|https://www.terrestris.de/|./team/img/marc_jansen.jpg|Programm-Komitee
Pirmin Kalberer ||./team/img/pirmin_gravatar.jpg|Programm-Komitee, Sessionleitung
Ulrike Assmann||./team/img/uassmann.jpg|Programm-Komitee
Niklas Alt|https://hlgl.hessen.de/ueber-uns/mitarbeiterinnen/niklas-alt|./team/img/nalt.jpg|FOSSGIS Core Team, Umfrage, Sessionleitung, Academic Track Team
Torsten Wiebke||./team/img/Torst_Wie.jpg|Programm-Komitee, Academic Track Team,
Peter Löwe||./team/img/Standortlogo_.png|Programm-Komitee, Academic Track Team
Dirk Schroer||./team/img/Dirk.jpg|Standortlogo, Artwork
Volker Grescho||./team/img/volker_grescho.jpg|FOSSGIS Core Team, Helfer Orga, Sessionleitung
Marc Gehling||./team/img/Standortlogo_.png|FOSSGIS Core Team, Anmeldesystem, Helfersystem 
Maik Sydoruk||./team/img/Standortlogo_.png|Core Team, Organisation Welcome Desk, Programm-Komitee
Lars Lingner||./team/img/lars.png|Workshoporganisation
Benjamin Jakimow|https://www.geographie.hu-berlin.de/en/professorships/eol/people/labmembers/benjamin_jakimow|./team/img/bjak.jpeg|Namenschilder
Josias Polchau| |./team/img/Josias-Polchau.jpg|LOC, Technik
Oliver Rudzick||./team/img/Rudzick.jpg|Programmheft
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./team/img/thomsenj.jpeg|Tagungsband, Sessionleitung
Falk Zscheile||./team/img/Standortlogo_.png|Rechtliches
David Arndt||./team/img/David.png|Finanzen
Katja Haferkorn||./team/img/hafi.jpg|FOSSGIS Core Team, Koordination Konferenzorganisation
C3VOC|https://c3voc.de/|./team/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
