Prof. Bernhard Seeger|||Leitung Lokal Team
Niklas Alt|||FOSSGIS Core Team, Lokal Team
Spaska Forteva|||Lokal Team
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./loc/img/aemde.jpg|Leitung Programm-Komitee, FOSSGIS Core Team, Presse 
Katja Haferkorn||./loc/img/hafi.jpg|FOSSGIS Core Team, Koordination Konferenzorganisation 
Marc Gehling|||FOSSGIS Core Team, Anmeldesystem, Helfersystem 
Marc Jansen|https://www.terrestris.de/||Programm-Komitee 
Prof. Stefan Keller|https://pretalx.com/fossgis2021/speaker/EM9MWR/|./loc/img/skeller.jpg|Programm-Komitee  
Ulrike Assmann||./loc/img/uassmann.jpg|Programm-Komitee  
Christian Strobl|||Programm-Komitee    
Christopher Lorenz||./loc/img/christopher.jpg|Programm-Komitee     
Emmanuel Belo |||Programm-Komitee      
Pirmin Kalberer |||Programm-Komitee    
Torsten Wiebke|||
Mirko Blinn|||Programm-Komitee 
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./loc/img/thomsenj.jpeg|Tagungsband     
Falk Zscheile|||Rechtliches  
C3VOC|https://c3voc.de/|./loc/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
